"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","4,330.49","4,216.80","4,335.85","4,204.90","2.06B","2.80%"
"10/28/2022","4,212.53","4,275.33","4,276.99","4,207.51","920.95M","-1.67%"
"10/27/2022","4,283.98","4,341.96","4,353.76","4,248.49","2.03B","-1.33%"
"10/26/2022","4,341.87","4,367.45","4,394.80","4,317.78","1.88B","-0.21%"
"10/25/2022","4,350.99","4,355.82","4,405.77","4,305.45","2.44B","0.02%"
"10/24/2022","4,350.04","4,307.23","4,388.59","4,307.23","2.23B","1.19%"
"10/21/2022","4,298.90","4,276.72","4,322.97","4,251.18","2.25B","0.58%"
"10/20/2022","4,274.27","4,267.53","4,329.41","4,246.88","3.42B","0.36%"
"10/19/2022","4,258.81","4,229.54","4,309.63","4,213.78","3.01B","0.96%"
"10/18/2022","4,218.22","4,254.81","4,318.47","4,173.89","3.64B","-0.01%"
"10/17/2022","4,218.54","3,964.45","4,230.64","3,964.45","3.38B","6.73%"
"10/14/2022","3,952.71","3,920.20","3,975.61","3,920.20","2.12B","1.77%"
"10/13/2022","3,883.81","3,854.39","3,912.92","3,840.11","1.98B","1.06%"
"10/12/2022","3,843.10","3,914.57","3,931.68","3,834.82","2.24B","-1.71%"
"10/11/2022","3,910.04","3,928.37","3,948.65","3,893.82","2.43B","-0.27%"
"10/10/2022","3,920.71","3,921.88","3,953.52","3,900.74","1.96B","0.14%"
"10/07/2022","3,915.29","3,916.81","3,947.04","3,890.88","2.20B","0.23%"
"10/06/2022","3,906.31","3,864.67","3,922.08","3,851.48","2.47B","2.18%"
"10/05/2022","3,823.04","3,821.67","3,851.72","3,749.57","2.65B","0.88%"
"10/04/2022","3,789.62","3,774.58","3,832.50","3,731.67","2.65B","1.87%"
"10/03/2022","3,720.08","3,473.97","3,721.13","3,473.97","2.25B","7.59%"
"09/30/2022","3,457.55","3,443.91","3,468.95","3,406.45","1.74B","0.50%"
"09/29/2022","3,440.42","3,515.23","3,542.32","3,324.66","2.19B","-1.39%"
"09/28/2022","3,489.01","3,548.77","3,584.91","3,485.62","2.14B","-1.99%"
"09/27/2022","3,559.92","3,542.28","3,623.75","3,542.28","2.85B","0.78%"
"09/26/2022","3,532.52","3,556.28","3,587.68","3,477.47","2.18B","-0.65%"
"09/23/2022","3,555.67","3,593.61","3,619.02","3,545.02","1.84B","-0.72%"
"09/22/2022","3,581.47","3,523.68","3,618.21","3,510.20","2.99B","1.75%"
"09/21/2022","3,519.73","3,555.96","3,584.33","3,498.84","2.65B","-1.22%"
"09/20/2022","3,563.07","3,482.01","3,564.86","3,400.24","3.68B","3.56%"
